Company Name,Job Title,Salaries Reported,Location, Gross Salary 
Course5 Intelligence,Data Scientist,1,Mumbai," 1,191.95 "
Visible Alpha,Data Scientist,1,Mumbai," 1,191.95 "
Target,Data Analyst,10,Bangalore," 11,919.50 "
Goldman Sachs,Data Analyst,9,Bangalore," 10,727.55 "
Tekion,Data Analyst,5,Bangalore," 5,959.75 "
Honeywell,Data Analyst,5,Bangalore," 5,959.75 "
Microsoft,Data Analyst,3,Bangalore," 3,575.85 "
DEUSTCHE,Data Analyst,1,Pune," 1,191.95 "
E-rachit Technologies,Data Analyst,1,Hyderabad," 1,191.95 "
Netflix,Data Analyst,1,Hyderabad," 1,191.95 "
Better.com,Data Analyst,5,New Delhi," 5,959.75 "
Gauge Data Solutions,Data Analyst,3,New Delhi," 3,575.85 "
Ford Motor Company,Data Analyst,3,New Delhi," 3,575.85 "
iKen Solutions,Data Analyst,2,Mumbai," 2,383.90 "
Mahindra,Data Analyst,1,Mumbai," 1,191.95 "
Data Axle,Data Analyst,1,Mumbai," 1,191.95 "
Navo Systems,Data Analyst,1,Mumbai," 1,191.95 "
Cargill,Data Engineer,7,Bangalore," 8,343.65 "
VMware,Data Engineer,5,Bangalore," 5,959.75 "
Walmart,Data Engineer,4,Bangalore," 4,767.80 "
IBM,Data Engineer,3,Bangalore," 3,575.85 "
ExxonMobil,Data Engineer,3,Bangalore," 3,575.85 "
SAP,Data Engineer,2,Bangalore," 2,383.90 "
Wells Fargo,Data Engineer,2,Bangalore," 2,383.90 "
HashedIn by Deloitte,Data Engineer,2,Bangalore," 2,383.90 "
Commonwealth Bank of Australia,Data Engineer,2,Bangalore," 2,383.90 "
GainInsights Solutions,Data Engineer,1,Bangalore," 1,191.95 "
mfine,Data Engineer,1,Bangalore," 1,191.95 "
Virtual Employee,Data Engineer,1,Bangalore," 1,191.95 "
Turtlemint,Data Engineer,2,Pune," 2,383.90 "
Globant,Data Engineer,2,Pune," 2,383.90 "
AXA GO Business Operations,Data Engineer,1,Pune," 1,191.95 "
Vistara,Data Engineer,1,Pune," 1,191.95 "
ZS Associates,Data Engineer,1,Pune," 1,191.95 "
iLink-Systems,Data Engineer,1,Pune," 1,191.95 "
Appberry,Data Engineer,1,Pune," 1,191.95 "
Tableau Software,Data Engineer,1,Pune," 1,191.95 "
ConsultAdd,Data Engineer,1,Pune," 1,191.95 "
Express Analytics,Data Engineer,1,Pune," 1,191.95 "
HP Inc.,Data Engineer,1,Pune," 1,191.95 "
S&P Global,Data Engineer,2,Hyderabad," 2,383.90 "
PwC,Data Engineer,1,Hyderabad," 1,191.95 "
Zenoti,Data Engineer,1,Hyderabad," 1,191.95 "
XYZ (Turkey),Data Engineer,1,Hyderabad," 1,191.95 "
PepsiCo,Data Engineer,1,Hyderabad," 1,191.95 "
ITC Infotech,Data Engineer,1,Hyderabad," 1,191.95 "
Apple,Data Engineer,1,Hyderabad," 1,191.95 "
Byteridge Software,Data Engineer,1,Hyderabad," 1,191.95 "
Paytm,Data Engineer,7,New Delhi," 8,343.65 "
Coforge,Data Engineer,4,New Delhi," 4,767.80 "
NatWest Group,Data Engineer,4,New Delhi," 4,767.80 "
Capgemini,Data Engineer,3,New Delhi," 3,575.85 "
OYO,Data Engineer,3,New Delhi," 3,575.85 "
Nokia,Data Engineer,3,New Delhi," 3,575.85 "
naidu,Data Engineer,1,New Delhi," 1,191.95 "
American Express,Data Engineer,1,New Delhi," 1,191.95 "
FDS,Data Engineer,1,New Delhi," 1,191.95 "
Dell Technologies,Data Engineer,1,New Delhi," 1,191.95 "
Publicis Sapient,Data Engineer,1,New Delhi," 1,191.95 "
Fractal,Data Engineer,7,Mumbai," 8,343.65 "
GEP,Data Engineer,2,Mumbai," 2,383.90 "
Tata Consultancy Services (North America),Data Engineer,1,Mumbai," 1,191.95 "
Cogoport,Data Engineer,1,Mumbai," 1,191.95 "
Cipla,Data Engineer,1,Mumbai," 1,191.95 "
MAERSK,Data Engineer,1,Mumbai," 1,191.95 "
Cuelogic Technologies,Data Engineer,1,Mumbai," 1,191.95 "
Algo Engines,Data Engineer,1,Mumbai," 1,191.95 "
Bookmyshow,Data Engineer,1,Mumbai," 1,191.95 "
Edwards Lifesciences,Data Engineer,1,Mumbai," 1,191.95 "
ANB Systems,Data Engineer,1,Mumbai," 1,191.95 "
Quantiphi Senior,Data Engineer,15,Mumbai," 17,879.25 "
Deloitte,Machine Learning Engineer,2,Bangalore," 2,383.90 "
Microsoft,Machine Learning Engineer,2,Bangalore," 2,383.90 "
NewSpace Research and Technologies,Machine Learning Engineer,2,Bangalore," 2,383.90 "
Philips,Machine Learning Engineer,1,Bangalore," 1,191.95 "
PayPal,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Legato Health Technologies,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Nobody Likes Onions,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Aera Technology,Machine Learning Engineer,2,Pune," 2,383.90 "
Mindbody,Machine Learning Engineer,1,Pune," 1,191.95 "
Helpshift,Machine Learning Engineer,1,Pune," 1,191.95 "
Blackstraw,Machine Learning Engineer,1,Pune," 1,191.95 "
ICE Mortgage Technology Senior,Machine Learning Engineer,1,Pune," 1,191.95 "
Accenture,Machine Learning Engineer,3,Hyderabad," 3,575.85 "
CreditVidya,Machine Learning Engineer,2,Hyderabad," 2,383.90 "
CognitiveScale,Machine Learning Engineer,2,Hyderabad," 2,383.90 "
HSBC Software Development India,Machine Learning Engineer,1,Hyderabad," 1,191.95 "
SmartCow,Machine Learning Engineer,1,Hyderabad," 1,191.95 "
Guidewire,Machine Learning Engineer,1,Hyderabad," 1,191.95 "
Snap2Insight,Senior Machine Learning Engineer,1,Hyderabad," 1,191.95 "
Samsung R&D Institute India - Noida,Machine Learning Engineer,2,New Delhi," 2,383.90 "
FIS,Machine Learning Engineer,1,New Delhi," 1,191.95 "
SRI Delhi,Machine Learning Engineer,1,New Delhi," 1,191.95 "
Quantiphi Senior,Machine Learning Engineer,1,New Delhi," 1,191.95 "
Orange Senior,Machine Learning Engineer,1,New Delhi," 1,191.95 "
Direction Software Solutions,Machine Learning Engineer,1,Mumbai," 1,191.95 "
Quantiphi,Senior Machine Learning Engineer,13,Mumbai," 15,495.35 "
Anheuser-Busch InBev,Data Scientist,25,Bangalore," 29,798.75 "
HP Inc.,Data Scientist,16,Bangalore," 19,071.20 "
Fidelity Investments,Data Scientist,9,Bangalore," 10,727.55 "
Walmart,Data Scientist,8,Bangalore," 9,535.60 "
Brillio,Data Scientist,8,Bangalore," 9,535.60 "
Noodle.ai,Data Scientist,7,Bangalore," 8,343.65 "
Cisco Systems,Data Scientist,7,Bangalore," 8,343.65 "
LinkedIn,Data Scientist,5,Bangalore," 5,959.75 "
Gojek,Data Scientist,5,Bangalore," 5,959.75 "
HDFC Standard Life Insurance,Data Scientist,4,Bangalore," 4,767.80 "
Bidgely,Data Scientist,3,Bangalore," 3,575.85 "
Yodlee,Data Scientist,2,Bangalore," 2,383.90 "
Accentue,Data Scientist,2,Bangalore," 2,383.90 "
Mobile Premier League,Data Scientist,2,Bangalore," 2,383.90 "
Kabbage,Data Scientist,2,Bangalore," 2,383.90 "
Unilever,Data Scientist,2,Bangalore," 2,383.90 "
Simpl,Data Scientist,2,Bangalore," 2,383.90 "
The Smart Cube,Data Scientist,1,Bangalore," 1,191.95 "
Mahindra,Data Scientist,1,Bangalore," 1,191.95 "
Alfonso & Associates Consulting,Data Scientist,1,Bangalore," 1,191.95 "
Hyperthink Systems,Data Scientist,1,Bangalore," 1,191.95 "
Dexler Information Solutions,Data Scientist,1,Bangalore," 1,191.95 "
Stayzilla,Data Scientist,1,Bangalore," 1,191.95 "
Citicorp Services India,Data Scientist,1,Bangalore," 1,191.95 "
qwerty12,Data Scientist,1,Bangalore," 1,191.95 "
Maybank,Data Scientist,1,Bangalore," 1,191.95 "
HWI,Data Scientist,1,Bangalore," 1,191.95 "
Navigare,Data Scientist,1,Bangalore," 1,191.95 "
redBus India,Data Scientist,1,Bangalore," 1,191.95 "
qplum,Data Scientist,1,Bangalore," 1,191.95 "
Kinara Capital,Data Scientist,1,Bangalore," 1,191.95 "
Symphony RetailAI,Data Scientist,1,Bangalore," 1,191.95 "
Netradyne,Data Scientist,1,Bangalore," 1,191.95 "
Freelancer,Data Scientist,1,Bangalore," 1,191.95 "
Synechron,Data Scientist,1,Bangalore," 1,191.95 "
Cisco Systems,Data Scientist,1,Bangalore," 1,191.95 "
Coupa Software Inc,Data Scientist,4,Pune," 4,767.80 "
Xoriant,Data Scientist,2,Pune," 2,383.90 "
Honeywell,Data Scientist,1,Pune," 1,191.95 "
Attra,Data Scientist,1,Pune," 1,191.95 "
University of Pune,Data Scientist,1,Pune," 1,191.95 "
DasDas,Data Scientist,1,Pune," 1,191.95 "
ZS Associates,Data Science Manager,2,Pune," 2,383.90 "
NTT DATA,Senior Data Scientist,1,Pune," 1,191.95 "
UBS,Senior Data Scientist,1,Pune," 1,191.95 "
USEReady,Senior Data Scientist,1,Pune," 1,191.95 "
Acclivis Technologies,Senior Data Scientist,1,Pune," 1,191.95 "
Amazon,Data Scientist,15,Hyderabad," 17,879.25 "
Micron Technology,Data Scientist,5,Hyderabad," 5,959.75 "
Claim Genius,Data Scientist,4,Hyderabad," 4,767.80 "
Brane Enterprises (nslhub),Data Scientist,3,Hyderabad," 3,575.85 "
Persistent Systems,Data Scientist,2,Hyderabad," 2,383.90 "
EMPLOYERS,Data Scientist,1,Hyderabad," 1,191.95 "
Tata Consultancy Services,Data Scientist,1,Hyderabad," 1,191.95 "
Evoke Technologies,Data Scientist,1,Hyderabad," 1,191.95 "
Object Technology Solutions India,Data Scientist,1,Hyderabad," 1,191.95 "
Nagarro,Data Scientist,10,New Delhi," 11,919.50 "
Optum Global Solutions,Data Scientist,10,New Delhi," 11,919.50 "
Publicis Sapient,Data Scientist,4,New Delhi," 4,767.80 "
Sprinklr,Data Scientist,4,New Delhi," 4,767.80 "
MakeMyTrip,Data Scientist,2,New Delhi," 2,383.90 "
PolicyBazaar,Data Scientist,2,New Delhi," 2,383.90 "
CSS Corporation,Data Scientist,1,New Delhi," 1,191.95 "
Fractal,Data Scientist,32,Mumbai," 38,142.40 "
Jio,Data Scientist,10,Mumbai," 11,919.50 "
PwC,Data Scientist,3,Mumbai," 3,575.85 "
HERE Technologies,Data Scientist,3,Mumbai," 3,575.85 "
ABC,Data Scientist,2,Mumbai," 2,383.90 "
IndusInd Bank,Data Scientist,1,Mumbai," 1,191.95 "
Intellect Design Arena,Data Scientist,1,Mumbai," 1,191.95 "
Fresher Zones,Data Scientist,1,Mumbai," 1,191.95 "
Tata,Data Scientist,1,Mumbai," 1,191.95 "
Anheuser-Busch InBev,Data Analyst,4,Bangalore," 4,767.80 "
Grofers,Data Analyst,4,Bangalore," 4,767.80 "
Manthan,Data Analyst,2,Bangalore," 2,383.90 "
UnitedHealth Group,Data Analyst,6,Hyderabad," 7,151.70 "
Ola,Data Analyst,1,Hyderabad," 1,191.95 "
ICICI Bank,Data Analyst,1,Hyderabad," 1,191.95 "
McKinsey Knowledge Center,Data Analyst,5,New Delhi," 5,959.75 "
Elucidata (MA),Data Analyst,3,New Delhi," 3,575.85 "
FSN Ecommerce Ventures,Data Analyst,2,Mumbai," 2,383.90 "
Embibe,Data Engineer,4,Bangalore," 4,767.80 "
Sigmoid,Data Engineer,4,Bangalore," 4,767.80 "
Tiger Analytics,Data Engineer,3,Bangalore," 3,575.85 "
Daimler,Data Engineer,1,Bangalore," 1,191.95 "
KNOEMA,Data Engineer,1,Bangalore," 1,191.95 "
V2soft,Data Engineer,1,Bangalore," 1,191.95 "
Milaap,Data Engineer,1,Bangalore," 1,191.95 "
Synechron,Data Engineer,1,Pune," 1,191.95 "
FlexTrade Systems Inc.,Data Engineer,1,Pune," 1,191.95 "
Ziffytech,Data Engineer,1,Pune," 1,191.95 "
Credit Suisse,Data Engineer,1,Pune," 1,191.95 "
HCL Technologies,Data Engineer,1,Pune," 1,191.95 "
InfoCepts,Data Engineer,1,Pune," 1,191.95 "
Abzooba,Data Engineer,1,Pune," 1,191.95 "
Virtusa,Data Engineer,3,Hyderabad," 3,575.85 "
ACS Solutions,Data Engineer,2,Hyderabad," 2,383.90 "
MarketLinc,Data Engineer,2,Hyderabad," 2,383.90 "
Zen3 Info Solutions,Data Engineer,1,Hyderabad," 1,191.95 "
EPAM,Data Engineer,1,Hyderabad," 1,191.95 "
Zen3 Infosolutions,Data Engineer,1,Hyderabad," 1,191.95 "
PayPal,Data Engineer,1,Hyderabad," 1,191.95 "
Amazon,Data Engineer,7,New Delhi," 8,343.65 "
Zomato,Data Engineer,2,New Delhi," 2,383.90 "
Freelancer,Data Engineer,2,New Delhi," 2,383.90 "
OLX Group,Data Engineer,1,New Delhi," 1,191.95 "
McKinsey Knowledge Center,Data Engineer,1,New Delhi," 1,191.95 "
Super Highway Labs,Data Engineer,1,New Delhi," 1,191.95 "
Goals101,Data Engineer,1,New Delhi," 1,191.95 "
TDL,Data Engineer,1,Mumbai," 1,191.95 "
Collinson,Data Engineer,1,Mumbai," 1,191.95 "
Episource,Data Engineer,1,Mumbai," 1,191.95 "
Nones,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Pucho,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Infilect,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Kruzr,Machine Learning Engineer,1,Bangalore," 1,191.95 "
Fresher Zones,Machine Learning Engineer,1,Pune," 1,191.95 "
FactSet,Machine Learning Engineer,7,Hyderabad," 8,343.65 "
Phenom,Machine Learning Engineer,5,Hyderabad," 5,959.75 "
Ravindra Kala Vidyalaya,Machine Learning Engineer,1,Hyderabad," 1,191.95 "
Honeywell,Data Scientist,10,Bangalore," 11,919.50 "
Philips,Data Scientist,9,Bangalore," 10,727.55 "
Tredence,Data Scientist,8,Bangalore," 9,535.60 "
Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore," 9,535.60 "
Shadowfax Technologies,Data Scientist,5,Bangalore," 5,959.75 "
Swiss Re,Data Scientist,3,Bangalore," 3,575.85 "
iQuanti,Data Scientist,3,Bangalore," 3,575.85 "
Lenovo,Data Scientist,2,Bangalore," 2,383.90 "
Tata,Data Scientist,2,Bangalore," 2,383.90 "
mfine,Data Scientist,2,Bangalore," 2,383.90 "
Aruba Networks,Data Scientist,2,Bangalore," 2,383.90 "
Belong,Data Scientist,2,Bangalore," 2,383.90 "
Aditya Birla Group,Data Scientist,2,Bangalore," 2,383.90 "
FOKAL,Data Scientist,2,Bangalore," 2,383.90 "
Sutherland,Data Scientist,2,Bangalore," 2,383.90 "
Boeing,Data Scientist,2,Bangalore," 2,383.90 "
SalesKen,Data Scientist,2,Bangalore," 2,383.90 "
Samsung Electronics,Data Scientist,2,Bangalore," 2,383.90 "
Capital One,Data Scientist,2,Bangalore," 2,383.90 "
Hewlett-Packard,Data Scientist,1,Bangalore," 1,191.95 "
DocOn Technologies,Data Scientist,1,Bangalore," 1,191.95 "
MARS WEB Solution,Data Scientist,1,Bangalore," 1,191.95 "
Bounce,Data Scientist,1,Bangalore," 1,191.95 "
Diverse Lynx,Data Scientist,1,Bangalore," 1,191.95 "
EdGe Networks,Data Scientist,1,Bangalore," 1,191.95 "
Fractal Systems,Data Scientist,1,Bangalore," 1,191.95 "
Utopia,Data Scientist,1,Bangalore," 1,191.95 "
Techstar Consulting,Data Scientist,1,Bangalore," 1,191.95 "
Kubric,Data Scientist,1,Bangalore," 1,191.95 "
Institute of Engineering & Management,Data Scientist,1,Bangalore," 1,191.95 "
Artefact,Data Scientist,1,Bangalore," 1,191.95 "
SunEdison,Data Scientist,1,Bangalore," 1,191.95 "
Manthan Studio,Data Scientist,1,Bangalore," 1,191.95 "
Equifax,Data Scientist,1,Bangalore," 1,191.95 "
Flutura,Data Scientist,1,Bangalore," 1,191.95 "
Voice Data Solutions,Data Scientist,1,Bangalore," 1,191.95 "
Ugam,Data Scientist,1,Bangalore," 1,191.95 "
Bajaj Finance,Data Scientist,1,Bangalore," 1,191.95 "
Global Talent Pool,Data Scientist,1,Bangalore," 1,191.95 "
CAPA - Centre for Aviation,Data Scientist,1,Bangalore," 1,191.95 "
RDA Labs,Data Scientist,1,Bangalore," 1,191.95 "
Wells Fargo,Data Scientist,1,Bangalore," 1,191.95 "
BuddhiMed Technologies,Data Scientist,1,Bangalore," 1,191.95 "
Dollar Loan Center,Data Scientist,1,Bangalore," 1,191.95 "
Neviton,Data Scientist,1,Bangalore," 1,191.95 "
i4u Labs,Data Scientist,1,Bangalore," 1,191.95 "
StoneX,Data Scientist,1,Bangalore," 1,191.95 "
Skandiabanken,Data Scientist,1,Bangalore," 1,191.95 "
Nuartin Labs,Data Scientist,1,Bangalore," 1,191.95 "
Postman,Data Scientist,1,Bangalore," 1,191.95 "
Snap,Data Scientist,1,Bangalore," 1,191.95 "
Schlumberger,Data Scientist,5,Pune," 5,959.75 "
Aera Technology,Data Scientist,4,Pune," 4,767.80 "
Credit Suisse,Data Scientist,3,Pune," 3,575.85 "
CanWill Technologies,Data Scientist,2,Pune," 2,383.90 "
Google,Data Scientist,1,Pune," 1,191.95 "
Yash Technologies,Data Scientist,1,Pune," 1,191.95 "
TCS e-Serve International,Data Scientist,1,Pune," 1,191.95 "
Volkswagen,Data Scientist,1,Pune," 1,191.95 "
SS Supply Chain Solutions,Data Scientist,1,Pune," 1,191.95 "
Tata Research Development and Design Centre,Data Scientist,1,Pune," 1,191.95 "
Wipro,Lead Data Scientist,2,Pune," 2,383.90 "
Quick Heal,Senior Data Scientist,1,Pune," 1,191.95 "
ThinkBumblebee Analytics,Senior Data Scientist,1,Pune," 1,191.95 "
